proposal_id,argument_id,relevance,quality,timestamp
747,747-32891-3-1,SPAM,LOW_QUALITY,16/02/2022 16:58
1419,1419-30381-1-1,RELEVANT,SUFFICIENT,17/02/2022 23:04
1792,1792-52328-1-1,VERY_RELEVANT,HIGH_QUALITY,25/02/2022 20:13
2576,2576-0-1-1,VERY_RELEVANT,HIGH_QUALITY,16/02/2022 17:31
3001,3001-34236-2-1,SPAM,LOW_QUALITY,16/02/2022 17:02
5139,5139-94603-1-1,VERY_RELEVANT,HIGH_QUALITY,25/02/2022 20:13
5139,5139-0-1-1,VERY_RELEVANT,HIGH_QUALITY,25/02/2022 20:13
7599,7599-54865-1-1,VERY_RELEVANT,HIGH_QUALITY,16/02/2022 17:12
7599,7599-54792-4-1,VERY_RELEVANT,HIGH_QUALITY,16/02/2022 17:11
7599,7599-55317-1-1,RELEVANT,SUFFICIENT,16/02/2022 17:12
8279,8279-0-1-1,RELEVANT,SUFFICIENT,25/02/2022 16:24
8279,8279-59891-2-1,RELEVANT,SUFFICIENT,16/02/2022 17:01
10996,10996-133247-1-1,VERY_RELEVANT,HIGH_QUALITY,22/02/2022 20:36
10996,10996-108676-7-1,VERY_RELEVANT,HIGH_QUALITY,22/02/2022 20:34
10996,10996-77088-1-1,RELEVANT,SUFFICIENT,22/02/2022 20:34
10996,10996-77533-1-1,VERY_RELEVANT,HIGH_QUALITY,28/02/2022 17:24
10996,10996-99560-3-1,RELEVANT,SUFFICIENT,22/02/2022 20:34
10996,10996-0-1-1,VERY_RELEVANT,HIGH_QUALITY,24/02/2022 20:12
11143,11143-0-1-1,VERY_RELEVANT,HIGH_QUALITY,16/02/2022 16:58
11143,11143-82238-1-1,VERY_RELEVANT,HIGH_QUALITY,16/02/2022 16:58
